id;jhi_key;description;create_date;last_update_date
1;orchid demand-driven;deposit Generic Rubber Soap International;2020-10-18T22:45:36;2020-10-18T14:56:49
2;Pants Sleek Metal Car;Awesome architectures;2020-10-18T18:10:51;2020-10-18T18:36:14
3;intranet firewall Intranet;sensor bypassing Officer;2020-10-18T08:17:12;2020-10-18T05:46:30
4;leverage matrix orchestration;dedicated View index;2020-10-18T11:34:09;2020-10-18T06:27:09
5;HDD invoice;Brand;2020-10-18T03:03:23;2020-10-18T02:10:57
6;Enhanced Legacy;1080p Manor Soft;2020-10-18T10:08:53;2020-10-18T06:34:21
7;Credit Card Account microchip;magenta;2020-10-19T00:02:30;2020-10-18T09:01:40
8;Open-architected hack;Frozen open-source initiatives;2020-10-18T17:02:40;2020-10-18T21:59:30
9;back up Fresh;hacking customized circuit;2020-10-18T15:52:02;2020-10-18T19:12:47
10;indexing Cliff Money Market Account;National Identity Bedfordshire;2020-10-18T19:50:46;2020-10-18T18:35:14
