id;description;create_date;last_update_date
1;Assistant;2020-10-18T21:46:06;2020-10-18T04:53:27
2;payment;2020-10-18T19:32:28;2020-10-18T11:11:44
3;Distributed Games Movies;2020-10-18T05:28:18;2020-10-18T19:46:38
4;International Tactics Licensed;2020-10-18T22:02:55;2020-10-18T11:37:57
5;Concrete Small Granite Computer;2020-10-18T22:41:59;2020-10-18T20:15:38
6;Squares Cotton Books;2020-10-19T00:48:31;2020-10-18T13:41:11
7;Hat standardization;2020-10-18T21:23:40;2020-10-18T23:39:53
8;partnerships functionalities Plastic;2020-10-18T15:48:15;2020-10-18T10:29:58
9;Illinois eyeballs International;2020-10-18T21:12:17;2020-10-18T19:13:07
10;input Berkshire haptic;2020-10-18T06:44:09;2020-10-18T22:39:31
