id;description;create_date;last_update_date
1;strategic Plastic New York;2020-10-18T12:06:03;2020-10-19T01:20:01
2;maximize Home;2020-10-18T09:34:48;2020-10-18T14:55:35
3;copy wireless;2020-10-18T16:32:04;2020-10-18T14:49:36
4;calculating generate;2020-10-19T01:09:51;2020-10-18T13:29:56
5;wireless Computer Personal Loan Account;2020-10-18T17:30:37;2020-10-19T00:39:03
6;Profit-focused connecting Spain;2020-10-18T08:48:57;2020-10-18T07:53:35
7;next generation;2020-10-18T03:19:43;2020-10-18T19:53:35
8;Steel heuristic;2020-10-18T14:24:28;2020-10-18T23:39:41
9;PNG platforms;2020-10-18T16:41:48;2020-10-18T18:42:36
10;Bedfordshire;2020-10-18T10:05:48;2020-10-18T11:58:23
