id;position;create_date;last_update_date;status
1;64085;2020-10-18T22:10:42;2020-10-18T11:35:18;REGISTER
2;70854;2020-10-19T01:11:41;2020-10-18T20:16:45;FINSHED
3;39265;2020-10-18T16:55:05;2020-10-18T22:12:13;REGISTER
4;53286;2020-10-18T21:31:11;2020-10-19T00:31:50;REGISTER
5;28150;2020-10-18T12:31:31;2020-10-18T23:25:07;REGISTER
6;23438;2020-10-18T14:18:51;2020-10-18T21:30:28;CANCELLED
7;50666;2020-10-18T13:44:17;2020-10-18T10:42:19;REGISTER
8;41067;2020-10-18T04:10:55;2020-10-18T11:56:01;CANCELLED
9;56019;2020-10-18T22:24:15;2020-10-19T01:06:19;CANCELLED
10;15048;2020-10-18T06:04:08;2020-10-18T02:56:40;CANCELLED
